Év:,2019,,,,,,,,,
Hónap (számal):,4,,,,,,,,,
,,,,,,,,,,
Név,Operátor név,Operátor típus,Elérhető napok,Vállalt napok száma,Ebből a maximális hétvégi napok száma,Hospitálót fogad,A vállalt napok mindegyike külön héten legyen,Egyedül ügyelne,Társügyeletben ügyelhet csak,Nem ügyel vele
,,"T = csak telefon, C = csak chat, CT= telefon és chat, H = Hospitáló","vesszővel elválasztva, szóköz nélkül",,,"1= igen,      0 = nem","1= igen,                0 = nem","1= igen,                0 = nem","1= igen,                0 = nem","Operátor név vesszővel elválasztva, szóköz nélkül"
,James,T,"2,4,9,11,13,16,25,30",2,2,1,0,0,0,""
,Emily,CT,"4,6,8,9,11,12,14,15,18,19,20,21,22,23,25,26,28,29,30",4,2,0,0,0,0,""
,Liam,CT,"8,15,20,22,23,25,29",2,2,1,0,0,0,""
,Emma,T,"19,27",2,2,1,0,0,0,""
,Juli,T,,2,2,1,0,0,0,""
,Benjamin,T,"25",1,1,1,0,0,0,""
,Olivia,T,"8,15",2,2,1,0,0,1,""
,Oliver,T,"5,18,19,26",2,2,1,0,0,0,""
,Charlotte,CT,"3,14",2,2,1,0,0,0,""
,Gabriel,T,"1,3,4,6,7,10,11,13,17,18,21,24,25,27,28",3,1,1,0,0,0,""
,Louise,T,"5,16,19,26,29,30",2,2,1,0,0,0,""
,Hugo,CT,"1,2,3,4,5,8,9,10,11,12,15",2,2,1,0,0,0,""
,Lucia,T,"4,11,25",2,2,1,0,0,0,""
,Francesco,CT,"5,6,7,15,19,20,21,22,23,24",3,3,1,0,0,0,""
,Sofia,C,"10,22,24,29",3,3,1,0,0,0,""
,Noah,T,"8,9,10,11,15,17,19,30",2,2,1,0,0,0,""
,Jakob,T,"1,2,3,4,5,24,25,26",2,2,1,0,0,0,""
,William,H,"4,6,8,9,11,12,14,15,18,19,20,21,22,23,25,26,28,29,30",4,2,1,0,0,0,""
